Obs.	statenum	casenum	vnumber	pnumber	atmcond	atmcond2	city	county	acchr	accmon	dayofweek	lightcond	intersectiontype	injury	

1	25	1	1	1	10	0	770	23	12	1	3	1	1	3	
2	25	1	2	1	10	0	770	23	12	1	3	1	1	4	
3	25	1	3	1	10	0	770	23	12	1	3	1	1	3	
4	25	1	3	2	10	0	770	23	12	1	3	1	1	4	
5	25	2	0	1	1	0	870	17	6	1	5	2	1	4	
6	25	2	1	1	1	0	870	17	6	1	5	2	1	0	
7	25	2	2	1	1	0	870	17	6	1	5	2	1	0	
8	25	3	1	1	1	0	7	5	8	1	4	1	3	4	
9	25	4	0	1	5	0	1520	27	23	1	1	2	1	4	
10	25	4	1	1	5	0	1520	27	23	1	1	2	1	0	
11	25	6	1	1	1	0	1247	13	1	1	2	2	1	1	
12	25	6	1	2	1	0	1247	13	1	1	2	2	1	4	
13	25	6	1	3	1	0	1247	13	1	1	2	2	1	2	
14	25	7	0	1	1	0	1000	9	13	1	1	1	1	4	
15	25	7	1	1	1	0	1000	9	13	1	1	1	1	0	
16	25	7	1	2	1	0	1000	9	13	1	1	1	1	0	
17	25	8	1	1	1	0	1067	5	22	1	6	2	3	4	
18	25	9	1	1	1	0	1270	13	3	1	1	3	3	4	
19	25	10	1	1	2	12	1100	27	22	1	3	3	1	4	
20	25	10	1	2	2	12	1100	27	22	1	3	3	1	1	
21	25	11	1	1	1	0	140	23	4	2	7	3	1	4	
22	25	12	1	1	4	0	123	27	19	2	1	3	1	4	
23	25	13	1	1	1	0	32	27	15	2	2	1	1	4	
24	25	14	1	1	10	0	765	9	16	2	5	1	1	4	
25	25	14	1	2	10	0	765	9	16	2	5	1	1	3	
26	25	16	1	1	1	0	924	5	14	2	3	1	1	4	
27	25	16	2	1	1	0	924	5	14	2	3	1	1	1	
28	25	17	1	1	1	0	500	13	1	2	6	3	1	1	
29	25	17	1	2	1	0	500	13	1	2	6	3	1	4	
30	25	17	1	3	1	0	500	13	1	2	6	3	1	1	
31	25	18	1	1	1	10	50	5	10	2	3	1	3	4	
32	25	19	1	1	10	0	251	5	7	2	4	1	1	4	
33	25	20	1	1	2	3	1280	5	1	2	1	3	1	4	
34	25	21	1	1	4	0	1360	23	5	2	2	4	3	4	
35	25	22	0	1	1	0	1270	13	12	2	2	1	3	4	
36	25	22	1	1	1	0	1270	13	12	2	2	1	3	0	
37	25	23	1	1	10	0	1064	5	7	2	2	1	1	4	
38	25	24	1	1	1	0	1280	5	18	2	2	2	1	4	
39	25	25	1	1	1	0	550	9	18	2	3	3	3	4	
40	25	26	0	1	1	0	155	21	19	3	3	3	1	4	
41	25	26	1	1	1	0	155	21	19	3	3	3	1	0	
42	25	27	1	1	4	0	299	5	0	3	6	3	3	4	
43	25	27	2	1	4	0	299	5	0	3	6	3	3	0	
44	25	28	1	1	1	0	650	9	7	2	7	1	1	4	
45	25	28	1	2	1	0	650	9	7	2	7	1	1	1	
46	25	28	2	1	1	0	650	9	7	2	7	1	1	0	
47	25	28	2	2	1	0	650	9	7	2	7	1	1	0	
48	25	29	1	1	1	0	458	3	11	3	7	1	1	4	
49	25	30	0	1	1	0	1444	9	20	3	7	2	1	4	
50	25	30	1	1	1	0	1444	9	20	3	7	2	1	0	
51	25	31	1	1	1	0	114	13	21	4	6	2	1	4	
52	25	32	1	1	1	0	121	1	17	2	6	5	1	4	
53	25	32	1	2	1	0	121	1	17	2	6	5	1	4	
54	25	32	2	1	1	0	121	1	17	2	6	5	1	2	
55	25	33	1	1	4	0	1500	27	15	3	3	1	1	0	
56	25	33	2	1	4	0	1500	27	15	3	3	1	1	4	
57	25	34	1	1	10	0	1490	17	20	3	1	2	1	2	
58	25	34	1	2	10	0	1490	17	20	3	1	2	1	2	
59	25	34	2	1	10	0	1490	17	20	3	1	2	1	4	
60	25	35	1	1	1	0	1395	27	20	3	1	3	1	4	
61	25	35	1	2	1	0	1395	27	20	3	1	3	1	0	
62	25	36	1	1	10	4	350	27	10	2	1	1	1	3	
63	25	36	2	1	10	4	350	27	10	2	1	1	1	4	
64	25	36	2	2	10	4	350	27	10	2	1	1	1	4	
65	25	37	1	1	1	0	770	23	23	4	7	3	4	4	
66	25	39	1	1	1	0	1340	17	0	3	1	3	1	4	
67	25	39	2	1	1	0	1340	17	0	3	1	3	1	0	
68	25	40	0	1	2	0	1520	27	18	2	4	3	3	4	
69	25	40	1	1	2	0	1520	27	18	2	4	3	3	0	
70	25	41	1	1	1	0	770	23	21	3	7	3	2	1	
71	25	41	2	1	1	0	770	23	21	3	7	3	2	4	
72	25	42	1	1	1	0	1270	13	10	3	7	1	2	1	
73	25	42	1	2	1	0	1270	13	10	3	7	1	2	4	
74	25	42	2	1	1	0	1270	13	10	3	7	1	2	0	
75	25	43	1	1	1	0	910	27	13	4	2	1	1	4	
76	25	44	1	1	10	0	1520	27	22	3	2	3	1	2	
77	25	44	1	2	10	0	1520	27	22	3	2	3	1	4	
78	25	44	1	3	10	0	1520	27	22	3	2	3	1	2	
79	25	44	1	4	10	0	1520	27	22	3	2	3	1	3	
80	25	45	1	1	1	0	520	17	13	4	2	1	1	4	
81	25	46	1	1	98	0	255	9	6	4	7	2	1	4	
82	25	47	0	1	98	0	170	17	5	4	4	2	1	4	
83	25	47	1	1	98	0	170	17	5	4	4	2	1	0	
84	25	48	1	1	1	0	564	23	2	3	7	2	1	2	
85	25	48	1	2	1	0	564	23	2	3	7	2	1	3	
86	25	48	2	1	1	0	564	23	2	3	7	2	1	4	
87	25	49	1	1	1	0	1064	5	19	4	2	3	1	0	
88	25	49	2	1	1	0	1064	5	19	4	2	3	1	4	
89	25	50	1	1	10	0	1190	17	4	4	3	3	2	2	
90	25	50	2	1	10	0	1190	17	4	4	3	3	2	4	
91	25	50	2	2	10	0	1190	17	4	4	3	3	2	2	
92	25	51	0	1	1	0	1360	23	20	4	6	3	1	4	
93	25	51	1	1	1	0	1360	23	20	4	6	3	1	0	
94	25	52	1	1	1	0	500	13	18	4	7	1	3	4	
95	25	52	2	1	1	0	500	13	18	4	7	1	3	2	
96	25	53	1	1	1	0	140	23	0	4	1	3	1	2	
97	25	53	1	2	1	0	140	23	0	4	1	3	1	2	
98	25	53	1	3	1	0	140	23	0	4	1	3	1	4	
99	25	53	1	4	1	0	140	23	0	4	1	3	1	2	
100	25	53	1	5	1	0	140	23	0	4	1	3	1	5	
101	25	54	0	1	10	2	136	25	6	5	5	4	1	4	
102	25	54	1	1	10	2	136	25	6	5	5	4	1	0	
103	25	55	0	1	1	0	740	17	19	5	3	1	2	4	
104	25	55	1	1	1	0	740	17	19	5	3	1	2	0	
105	25	55	1	2	1	0	740	17	19	5	3	1	2	5	
106	25	55	1	3	1	0	740	17	19	5	3	1	2	5	
107	25	56	1	1	2	0	55	27	22	5	4	3	1	4	
108	25	56	1	2	2	0	55	27	22	5	4	3	1	3	
109	25	56	2	1	2	0	55	27	22	5	4	3	1	0	
110	25	57	1	1	1	0	180	21	23	5	6	3	1	3	
111	25	57	1	2	1	0	180	21	23	5	6	3	1	4	
112	25	58	1	1	10	0	385	5	18	5	3	1	1	4	
113	25	58	2	1	10	0	385	5	18	5	3	1	1	0	
114	25	59	1	1	2	0	1000	9	0	5	6	3	1	2	
115	25	59	1	2	2	0	1000	9	0	5	6	3	1	4	
116	25	60	1	1	1	0	100	9	13	5	1	1	3	4	
117	25	61	1	1	10	2	1390	27	21	5	7	2	3	4	
118	25	62	1	1	10	0	520	17	19	6	1	5	1	4	
119	25	63	1	1	1	0	40	27	20	5	3	2	1	4	
120	25	64	0	1	10	0	30	15	16	5	1	1	2	4	
121	25	64	1	1	10	0	30	15	16	5	1	1	2	0	
122	25	65	1	1	1	10	870	17	19	6	1	5	1	3	
123	25	65	1	2	1	10	870	17	19	6	1	5	1	4	
124	25	66	0	1	1	0	195	17	2	6	5	3	1	4	
125	25	66	1	1	1	0	195	17	2	6	5	3	1	0	
126	25	67	1	1	10	0	585	27	13	6	1	1	1	4	
127	25	67	2	1	10	0	585	27	13	6	1	1	1	3	
128	25	68	1	1	1	0	330	1	17	6	6	1	1	4	
129	25	69	1	1	1	0	696	23	11	6	1	1	98	2	
130	25	69	1	2	1	0	696	23	11	6	1	1	98	4	
131	25	69	1	3	1	0	696	23	11	6	1	1	98	3	
132	25	69	1	4	1	0	696	23	11	6	1	1	98	3	
133	25	69	1	5	1	0	696	23	11	6	1	1	98	3	
134	25	69	1	6	1	0	696	23	11	6	1	1	98	2	
135	25	69	1	7	1	0	696	23	11	6	1	1	98	2	
136	25	69	1	8	1	0	696	23	11	6	1	1	98	3	
137	25	71	1	1	1	0	1283	27	11	6	7	1	1	4	
138	25	72	1	1	10	0	612	11	1	7	4	2	1	4	
139	25	73	0	1	2	10	1125	9	4	6	6	3	98	4	
140	25	73	1	1	2	10	1125	9	4	6	6	3	98	9	
141	25	74	1	1	10	8	500	13	15	7	4	1	1	9	
142	25	74	1	2	10	8	500	13	15	7	4	1	1	9	
143	25	74	2	1	10	8	500	13	15	7	4	1	1	4	
144	25	74	2	2	10	8	500	13	15	7	4	1	1	3	
145	25	74	2	3	10	8	500	13	15	7	4	1	1	3	
146	25	75	1	1	10	2	870	17	12	5	7	1	1	0	
147	25	75	2	1	10	2	870	17	12	5	7	1	1	4	
148	25	75	2	2	10	2	870	17	12	5	7	1	1	9	
149	25	75	2	3	10	2	870	17	12	5	7	1	1	9	
150	25	75	3	1	10	2	870	17	12	5	7	1	1	0	
151	25	75	3	2	10	2	870	17	12	5	7	1	1	9	
152	25	76	0	1	1	0	1185	5	23	6	6	3	1	4	
153	25	76	1	1	1	0	1185	5	23	6	6	3	1	0	
154	25	77	0	1	1	0	105	17	22	6	7	2	1	4	
155	25	77	1	1	1	0	105	17	22	6	7	2	1	0	
156	25	77	1	2	1	0	105	17	22	6	7	2	1	0	
157	25	77	2	1	1	0	105	17	22	6	7	2	1	0	
158	25	77	2	2	1	0	105	17	22	6	7	2	1	0	
159	25	77	2	3	1	0	105	17	22	6	7	2	1	0	
